"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C16","CAPAE110103X125L","700.8307mm","858.9559mm","700.8307mm","858.9559mm","705.0057mm","858.9559mm","T","360.00","470uF"
"C2","CAPAE110103X125L","681.2mm","857.9104mm","681.2mm","857.9104mm","681.2mm","853.7354mm","T","270.00","470uF"
"R9","RESC_0603_1608X05L","688.0464mm","849.5254mm","688.0464mm","849.5254mm","688.0464mm","850.2504mm","T","270.00","2r0"
"U1","TSOP65P640X120_HS-17N","682.475mm","846.5711mm","682.475mm","846.5711mm","679.525mm","848.8461mm","T","270.00","TPS40057"
"R7","RESC_0603_1608X05L","683.5835mm","842.9669mm","683.5835mm","842.9669mm","684.3085mm","842.9669mm","T","180.00","16K"
"R8","RESC_0603_1608X05L","681.0793mm","842.9668mm","681.0793mm","842.9668mm","680.3543mm","842.9668mm","T","360.00","120K"
"R6","RESC_0603_1608X05L","681.0793mm","841.6626mm","681.0793mm","841.6626mm","680.3543mm","841.6626mm","T","360.00","8.2k"
"R2","RESC_0603_1608X05L","677.1208mm","844.0486mm","677.1208mm","844.0486mm","676.3958mm","844.0486mm","T","360.00","110k"
"R5","RESC_0603_1608X05L","680.9248mm","850.8303mm","680.9248mm","850.8303mm","680.1998mm","850.8303mm","T","360.00","11K"
"R4","RESC_0603_1608X05L","678.4205mm","850.8303mm","678.4205mm","850.8303mm","677.6955mm","850.8303mm","T","360.00","57K"
"R1","RESC_0603_1608X05L","677.1208mm","849.4656mm","677.1208mm","849.4656mm","676.3958mm","849.4656mm","T","360.00","160K"
"R3","RESC_0603_1608X05L","677.1208mm","846.7571mm","677.1208mm","846.7571mm","676.3958mm","846.7571mm","T","360.00","1K"
"Q2","INF-PG-TDSON-8-1_V","691.5757mm","845.1766mm","691.5757mm","845.1921mm","689.6707mm","842.3671mm","T","90.00","Infineon BSC093N04LSGATMA1"
"Q1","INF-PG-TDSON-8-1_V","691.5757mm","852.9229mm","691.5757mm","852.9384mm","689.6707mm","850.1134mm","T","90.00","Infineon BSC093N04LSGATMA1"
"L1","INDP135126X40L","702.3887mm","846.65mm","702.3887mm","846.65mm","696.9307mm","846.65mm","T","360.00","Inductor"
"C13","CAPC_1210","688.4207mm","858.8184mm","688.4207mm","858.8184mm","688.4207mm","860.2434mm","T","270.00","22uF"
"C12","CAPC_1210","691.525mm","858.8184mm","691.525mm","858.8184mm","691.525mm","860.2434mm","T","270.00","22uF"
"C11","CAPC_0603_1608X05L","679.125mm","842.3168mm","679.125mm","842.3168mm","679.125mm","841.5918mm","T","90.00","150pF"
"C10","CAPC_0603_1608X05L","688.0464mm","844.3668mm","688.0464mm","844.3668mm","688.0464mm","843.6418mm","T","90.00","1uF"
"C7","CAPC_0603_1608X05L","688.0464mm","846.9711mm","688.0464mm","846.9711mm","688.0464mm","846.2461mm","T","90.00","100nF"
"C9","CAPC_0603_1608X05L","686.0833mm","850.7476mm","686.0833mm","850.7476mm","685.3583mm","850.7476mm","T","360.00","1uF"
"C3","CAPC_0603_1608X05L","677.1208mm","841.2901mm","677.1208mm","841.2901mm","676.3958mm","841.2901mm","T","360.00","180pF"
"C8","CAPC_0603_1608X05L","683.479mm","850.7803mm","683.479mm","850.7803mm","682.754mm","850.7803mm","T","360.00","100pF"
"C4","CAPC_0603_1608X05L","677.1208mm","848.1114mm","677.1208mm","848.1114mm","676.3958mm","848.1114mm","T","360.00","100nF"
"C6","CAPC_0603_1608X05L","677.1208mm","845.4028mm","677.1208mm","845.4028mm","676.3958mm","845.4028mm","T","360.00","3.3nF"
"C5","CAPC_0603_1608X05L","677.1208mm","842.6943mm","677.1208mm","842.6943mm","676.3958mm","842.6943mm","T","360.00","12pF"
"C14","CAPC_1210","708.8108mm","859.9867mm","708.8108mm","859.9867mm","708.8108mm","861.4117mm","T","270.00","22uF"
"C15","CAPC_1210","708.8108mm","855.5809mm","708.8108mm","855.5809mm","708.8108mm","854.1558mm","T","90.00","22uF"

